lemma,sense_name,definition,example,example_source,contains_word,Notes
bring,bring.v.06,be accompanied by,Can I bring my cousin to the dinner?,wordnet,TRUE,
bowl,bowl.n.08,a small round container that is open at the top for holding tobacco,Can I get a bowl for my cigar?,hand_written,TRUE,
give,give.v.14,leave with; give temporarily,Can I give you my keys while I go in the pool?,wordnet,TRUE,
go,move.v.15,have a turn; make one's move in a game,Can I go now?,wordnet,TRUE,
bib,bib.n.01,top part of an apron; covering the chest,Can I just put your bib back on,childes,TRUE,
can,can.n.01,airtight sealed metal container for food or drink or paint etc.,Can of coke,hand_written,TRUE,
radio,radio.n.01,medium for communication,Can you call me over the radio?,hand_written,TRUE,
carry,post.v.07,transfer (entries) from one account book to another,Can you carry this transaction to Mark's account?,hand_written,FALSE,
radio,radio.n.03,a communication system based on broadcasting electromagnetic waves,Can you change the radio station,hand_written,TRUE,
close,close.v.15,fill or stop up,Can you close the cracks with caulking?,wordnet,TRUE,
drop,flatten.v.03,lower the pitch of (musical notes),Can you drop the pitch for that?,hand_written,TRUE,
find,line_up.v.02,get something or somebody for a specific purpose,Can you find me ice cream to go with the ice cream cone,childes,TRUE,
fit,fit.v.05,insert or adjust several objects or people,Can you fit the toy into the box?,wordnet,TRUE,
glasses,glass.n.02,a container for holding liquids while drinking,Can you get some glasses for the table?,hand_written,FALSE,
jump,jumpstart.v.01,start (a car engine whose battery is dead) by connecting it to another car's battery,"Can you give me a jump, my battery is dead",hand_written,TRUE,
give,give.v.03,transfer possession of something concrete or abstract to somebody,Can you give me lessons?,wordnet,TRUE,
glass,glass.n.02,a container for holding liquids while drinking,Can you hand me a glass?,hand_written,TRUE,
jump,jump.v.01,move forward by leaps and bounds,Can you jump over the fence?,wordnet,TRUE,
make,cook.v.02,prepare for eating by applying heat,Can you make me an omelette?,wordnet,TRUE,
read,understand.v.03,make sense of a language,Can you read Greek?,wordnet,TRUE,
story,story.n.02,a piece of fiction that narrates a chain of related events,Can you read me a story?,hand_written,TRUE,
duck,duck.n.01,small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs,Can you see the yellow duck?,childes,TRUE,
share,share.v.04,give out as one's portion or share,Can you share the cookies with your sister?,hand_written,TRUE,
share,share.v.02,use jointly or in common,Can you share the toy with your sister?,hand_written,TRUE,
smile,smile.v.01,"change one's facial expression by spreading the lips, often to signal pleasure",Can you smile for me?,hand_written,TRUE,
stand,stand.v.10,put into an upright position,Can you stand the bookshelf up?,wordnet,TRUE,
take,lead.v.01,take somebody somewhere,Can you take me to the main entrance?,wordnet,TRUE,
take,take.v.04,"get into one's hands, take physically","Can you take this bag, please",wordnet,TRUE,
taste,taste.v.02,perceive by the sense of taste,Can you taste the garlic?,wordnet,TRUE,
think,think.v.08,"decide by pondering, reasoning, or reflecting",Can you think what to do next?,wordnet,TRUE,
careful,careful.s.02,cautiously attentive,Careful of her feelings,wordnet,TRUE,
careful,careful.s.05,mindful of the future in spending money,Careful with money,wordnet,TRUE,
carry,carry.v.25,take further or advance,Carry a cause,wordnet,TRUE,
carry,carry.v.26,have on the surface or on the skin,Carry scars,wordnet,TRUE,
carry,dribble.v.03,"propel,",Carry the ball,wordnet,FALSE,
carry,carry.v.08,extend to a certain degree,Carry too far,wordnet,TRUE,
cat,kat.n.01,the leaves of the shrub Catha edulis which are chewed like tobacco or used to make tea; has the effect of a euphoric stimulant,Cat used to be a popular stimulant,hand_written,FALSE,
catch,catch.v.12,be struck or affected by,Catch fire,wordnet,TRUE,
catch,catch.v.10,"get or regain something necessary, usually quickly or briefly",Catch one's breath,wordnet,TRUE,
catch,catch.v.07,attract and fix,Catch the attention of the waiter,wordnet,FALSE,
catch,catch.v.04,take hold of so as to seize or restrain or stop the motion of,Catch the ball!,wordnet,FALSE,
cereal,grain.n.02,foodstuff prepared from the starchy grains of cereal grasses,Cereal is one of the main ingrediants in animal feed,hand_written,FALSE,
blow,blow.v.17,lay eggs,Certain insects are said to blow,wordnet,TRUE,
fit,match.v.05,make correspond or harmonize,Chameleons change color to fit with what's behind them,childes,TRUE,
chase,chase.v.03,cut a groove into,Chase silver,wordnet,TRUE,
cheerios,adieu.n.01,a farewell remark,"Cheerio, govna!', said the American",hand_written,FALSE,
clean,clean.a.01,free from dirt or impurities; or having clean habits,Children with clean shining faces,wordnet,TRUE,
fall,fall.v.10,occur at a specified time or place,Christmas falls on a Monday this year,wordnet,TRUE,
butt,butt.n.09,the small unused part of something (especially the end of a cigarette that is left after smoking),Cigarette butt,hand_written,TRUE,
stick,stick.n.07,a long thin implement resembling a length of wood,Cinnamon sticks,wordnet,TRUE,
clap,clap.v.07,strike together so as to produce a sharp percussive noise,Clap two boards together,wordnet,TRUE,
shovel,shovel.n.03,a fire iron consisting of a small shovel used to scoop coals or ashes in a fireplace,Clean the fireplace with the shovel,hand_written,TRUE,
clean,clean.s.04,free from impurities,Clean water,wordnet,TRUE,
close,close.v.09,cause a window or an application to disappear on a computer desktop,Close that tab,hand_written,FALSE,
close,close_up.v.03,unite or bring into contact or bring together the edges of,Close the circuit,wordnet,TRUE,
close,close.v.01,move so that an opening or passage is obstructed; make shut,Close the door,hand_written,FALSE,
close,close.v.08,engage at close quarters,Close with the enemy,wordnet,TRUE,
quiet,quiet.s.03,not showy or obtrusive,Clothes in quiet good taste,wordnet,TRUE,
make,make.v.34,constitute the essence of,Clothes make the man,wordnet,TRUE,
cloud,swarm.n.02,a group of many things in the air or on the ground,Clouds of blossoms,wordnet,TRUE,
beans,bean.n.02,any of various seeds or fruits that are beans or resemble beans,Coffee beans,hand_written,TRUE,
cold,cold.s.07,so intense as to be almost uncontrollable,Cold fury gripped him,wordnet,TRUE,
cold,cold.s.13,lacking the warmth of life,Cold in his grave,wordnet,TRUE,
couch,sofa.n.01,an upholstered seat for more than one person,"Come sit on the couch, please",hand_written,FALSE,
cracker,cracker.n.05,a party favor consisting of a paper roll (usually containing candy or a small favor) that pops when pulled at both ends,Confetti came out of a cracker,childes,TRUE,
red,crimson.s.02,characterized by violence or bloodshed,Convulsed with red rage,wordnet,TRUE,
cook,fudge.v.01,"tamper, with the purpose of deception",Cook the books,wordnet,TRUE,
pudding,pudding.n.01,any of various soft thick unsweetened baked dishes,Corn pudding,wordnet,TRUE,
bring,bring.v.04,go or come after and bring or take back,Could you bring the wine?,wordnet,TRUE,
see,attend.v.02,take charge of or deal with,Could you see about lunch?,wordnet,TRUE,
cover,cover.v.10,to take an action to protect against future problems,Count the cash in the drawer twice just to cover yourself,wordnet,TRUE,
cover,cover.v.01,provide with a covering or cause to be covered,Cover her face with a handkerchief,wordnet,TRUE,
cover,overlay.v.01,put something on top of something else,Cover the meat with a lot of gravy,wordnet,TRUE,
cover,cover.v.26,"clothe, as if for protection from the elements",Cover your head!,wordnet,TRUE,
cracker,cracker.n.03,"a programmer who cracks (gains unauthorized access to) computers, typically to do malicious things",Crackers are often mistakenly called hackers,wordnet,TRUE,
foot,foot.n.03,the lower part of anything,Curled up on the foot of the bed,wordnet,TRUE,
cut,cut.v.23,perform or carry out,Cut a caper,wordnet,TRUE,
cut,cut.v.21,create by duplicating data,Cut a disk,wordnet,TRUE,
cut,cut.v.07,style and tailor in a certain fashion,Cut a dress,wordnet,TRUE,
cut,cut.v.06,"form by probing, penetrating, or digging",Cut a hole,wordnet,TRUE,
cut,cut.v.18,stop filming,Cut a movie scene,wordnet,TRUE,
cut,cut.v.13,give the appearance or impression of,Cut a nice figure,wordnet,TRUE,
cut,cut.v.08,hit (a ball) with a spin so that it turns in the opposite direction,Cut a Ping-Pong ball,wordnet,TRUE,
cut,cut.v.20,record a performance on (a medium),Cut a record,wordnet,TRUE,
cut,write_out.v.02,make out and issue,Cut a ticket,wordnet,TRUE,
cut,cut.v.04,make an incision or separation,Cut along the dotted line,wordnet,TRUE,
cut,dilute.v.01,lessen the strength or flavor of a solution or mixture,Cut bourbon,wordnet,TRUE,
cut,cut.v.11,intentionally fail to attend,Cut class,wordnet,TRUE,
cut,cut.v.17,make an abrupt change of image or sound,Cut from one scene to another,wordnet,TRUE,
cut,cut.v.28,reap or harvest,Cut grain,wordnet,TRUE,
cut,cut.v.32,shorten as if by severing the edges or ends of,Cut my hair,wordnet,TRUE,
cut,cut.v.22,form or shape by cutting or incising,Cut paper dolls,wordnet,TRUE,
cut,edit.v.03,cut and assemble the components of,Cut recording tape,wordnet,TRUE,
cut,switch_off.v.01,cause to stop operating by disengaging a switch,Cut the engine,wordnet,TRUE,
cut,cut.v.36,"cease, stop",Cut the noise,wordnet,TRUE,
cut,cut.v.01,separate with or as if with an instrument,Cut the rope,wordnet,TRUE,
cut,cut.v.19,make a recording of,Cut the songs,wordnet,TRUE,
finger,finger.n.02,the length of breadth of a finger used as a linear measure,Da Vinci used a finger measurement for his work,hand_written,TRUE,
truck,truck.n.01,an automotive vehicle suitable for hauling,Dad got a new truck,hand_written,TRUE,
sandbox,sandbox.n.02,a plaything consisting of a pile of sand or a box filled with sand for children to play in,Dad made me a sandbox,hand_written,TRUE,
dark,dark.s.03,brunet (used of hair or skin or eyes),Dark eyes,wordnet,TRUE,
dark,dark.a.02,(used of color) having a dark hue,Dark green,wordnet,TRUE,
dark,colored.s.02,having skin rich in melanin pigments,Dark-skinned peoples,wordnet,TRUE,
doll,dame.n.01,informal terms for a (young) woman,Darling would you be a doll?,hand_written,TRUE,
dark,black.s.05,stemming from evil characteristics or forces; wicked or dishonorable,Darth Vader of the dark side,wordnet,TRUE,
face,side.n.04,a surface forming part of the outside of an object,Dew dripped from the face of the leaf,wordnet,TRUE,
jump,startle.v.02,"move or jump suddenly, as if in surprise or alarm",Did the spider make you jump?,childes,TRUE,
muffin,muffin.n.01,a sweet quick bread baked in a cup-shaped pan,Did we use up all the English muffins?,childes,TRUE,
salt,salt.n.02,white crystalline form of especially sodium chloride used to season and preserve food,Did you add salt to this?,hand_written,TRUE,
arm,arm.n.04,the part of an armchair or sofa that supports the elbow and forearm of a seated person,Did you bash your head on the chair arm?,childes,TRUE,
soap,soap.n.02,money offered as a bribe,Did you bring the soap?,hand_written,TRUE,
catch,catch.v.19,contract,Did you catch a cold?,wordnet,TRUE,
catch,catch.v.18,grasp with the mind or develop an understanding of,Did you catch that allusion?,wordnet,TRUE,
catch,watch.v.03,see or watch,Did you catch the show with the snake on it,childes,TRUE,
catch,get.v.11,"succeed in catching or seizing, especially after a chase",Did you catch the thief?,wordnet,TRUE,
climb,climb.v.01,go upward with gradual or continuous progress,Did you ever climb up the hill behind your house?,wordnet,TRUE,
ride,ride.v.01,"sit and travel on the back of animal, usually while controlling its motions",Did you ever ride a camel?,wordnet,TRUE,
orange,orange.n.02,orange color or pigment; any of a range of colors between red and yellow,Did you ever see an orange kitty?,childes,TRUE,
find,find.v.03,come upon after searching; find the location of something that was missed or lost,Did you find your glasses?,wordnet,TRUE,
get,catch.v.18,grasp with the mind or develop an understanding of,Did you get it?,wordnet,TRUE,
see,go_steady.v.01,date regularly; have a steady relationship with,Did you know that she is seeing an older man?,wordnet,TRUE,
flower,flower.n.01,a plant cultivated for its blooms or blossoms,Did you pick up flowers for Mom?,hand_written,TRUE,
keys,key.n.01,metal device shaped in such a way that when it is inserted into the appropriate lock the lock's mechanism can be rotated,Did you remember the keys?,hand_written,TRUE,
milk,milk.n.01,a white nutritious liquid secreted by mammals and used as food by human beings,Did you remember to get milk and eggs?,hand_written,TRUE,
toe,toe.n.01,one of the digits of the foot,Did you stub your toe?,hand_written,TRUE,
medicine,medicine.n.02,(medicine) something that treats or prevents or alleviates the symptoms of disease,Did you take your medicine this morning?,hand_written,TRUE,
plant,plant.n.02,(botany) a living organism lacking the power of locomotion,Did you water the plants?,hand_written,TRUE,
